timestamp,username,source_ip,status
2026-09-20 08:12:14,aeyal,192.168.1.25,success
2026-09-20 08:32:41,jdoe,192.168.1.31,success
2026-09-20 09:04:17,mchen,192.168.1.42,success
2026-09-20 09:31:02,sgarcia,192.168.1.51,success
2026-09-20 10:12:44,aeyal,192.168.1.25,success
2026-09-20 11:45:11,jdoe,192.168.1.31,success
2026-09-20 14:22:31,mchen,192.168.1.42,success
2026-09-20 17:08:54,sgarcia,192.168.1.51,success
2026-09-20 22:14:03,jdoe,185.72.14.91,failure
2026-09-20 22:14:18,jdoe,185.72.14.91,failure
2026-09-20 22:14:32,jdoe,185.72.14.91,failure
2026-09-20 22:14:47,jdoe,185.72.14.91,failure
2026-09-20 22:15:02,jdoe,185.72.14.91,failure
2026-09-20 22:15:17,jdoe,185.72.14.91,failure
2026-09-20 22:15:36,jdoe,185.72.14.91,success
2026-09-20 18:03:12,jdoe,185.72.14.91,failure
2026-09-20 19:47:25,jdoe,185.72.14.91,failure
2026-09-21 02:31:04,rpatel,203.0.113.77,failure
2026-09-21 02:31:39,mchen,203.0.113.77,failure
2026-09-21 02:32:15,sgarcia,203.0.113.77,failure
2026-09-21 02:33:02,bsmith,203.0.113.77,failure
2026-09-21 02:34:11,aeyal,203.0.113.77,failure
